,natoms,CH,CN,CO,CC,NN,NO,NH,OH
616,18,12,2,6,10,1,0,0,0
617,18,16,2,2,14,1,0,0,0
618,10,6,2,4,3,1,0,0,0
619,15,11,5,1,9,1,0,0,0
620,18,10,4,1,14,1,0,1,0
621,14,7,3,2,8,1,1,0,0
622,21,13,5,1,15,2,0,0,1
623,20,10,2,4,15,1,0,0,0
624,25,15,5,4,16,2,0,0,1
625,21,13,5,1,15,2,0,0,1
626,19,11,2,1,17,1,0,0,1
627,19,11,2,1,17,1,0,0,1
628,19,11,2,1,17,1,0,0,1
629,23,25,2,1,20,1,0,0,1
630,20,10,3,1,17,1,0,2,1
631,23,13,2,1,22,1,0,1,0
632,15,7,2,1,13,1,0,0,1
633,19,10,4,1,15,1,0,0,1
634,19,11,2,1,17,1,0,0,1
635,9,4,1,1,6,0,1,0,1
636,9,4,1,1,6,0,1,0,1
637,12,2,3,1,6,0,3,0,1
638,21,10,5,2,14,1,1,0,1
639,8,2,1,3,3,0,1,0,1
640,8,2,3,1,3,0,1,1,1
641,14,4,3,2,9,0,1,1,1
642,9,2,1,4,3,0,1,0,1
643,10,2,3,2,4,0,1,1,1
644,11,5,3,0,8,0,1,1,0
645,9,4,4,2,2,0,1,3,0
646,10,2,5,0,4,0,1,4,0
647,8,8,1,1,6,0,0,1,0
648,14,13,2,1,12,0,0,0,0
649,9,8,1,1,6,0,1,0,1
650,15,13,2,1,12,1,0,1,0
651,15,13,2,2,12,0,0,0,0
652,17,12,3,2,13,0,0,0,0
653,15,8,2,1,14,0,0,0,1
654,15,18,2,1,14,0,0,0,1
655,15,14,2,1,14,0,0,0,1
656,15,10,2,1,14,0,0,0,1
657,15,15,2,1,14,0,0,0,0
658,13,12,2,1,11,0,0,0,1
659,17,14,2,1,16,0,0,0,1
660,15,12,2,1,14,0,0,0,1
661,15,14,2,1,14,0,0,0,1
662,11,10,2,1,8,0,0,0,1
663,10,7,2,1,6,1,0,0,1
664,15,9,2,1,12,1,0,0,1
665,10,12,2,1,6,1,0,0,0
666,9,9,1,1,6,0,1,0,0
667,15,11,2,1,14,0,0,0,0
668,12,6,0,2,11,0,0,0,2
669,12,13,0,2,11,0,0,0,1
670,15,7,10,1,6,0,0,1,0
671,13,5,10,1,4,0,0,1,0
672,15,7,7,1,9,0,0,1,1
673,15,9,10,1,6,0,0,0,1
674,13,10,4,3,7,0,0,0,0
675,14,9,2,4,9,0,0,0,0
676,12,11,4,1,8,0,0,0,1
677,11,12,2,2,7,0,0,1,0
678,11,11,2,1,8,0,0,0,0
679,11,11,2,2,6,0,1,0,0
680,22,14,2,4,18,0,0,0,1
681,11,4,2,2,8,0,0,1,0
682,11,6,2,2,8,0,0,1,0
683,7,5,1,2,3,0,1,0,0
684,6,6,2,0,3,1,0,0,0
685,6,5,2,0,3,1,0,1,0
686,16,12,2,0,15,1,0,0,0
687,16,11,2,0,15,1,0,1,0
688,19,10,4,1,15,1,0,1,0
689,8,5,5,0,2,1,0,3,0
690,10,11,7,0,2,1,0,1,0
691,12,5,5,0,7,1,0,3,0
692,8,1,5,0,0,1,2,1,0
693,9,0,6,0,0,1,2,3,0
694,6,2,4,0,0,1,1,1,0
695,12,5,4,1,7,1,0,2,0
696,7,6,2,0,3,2,0,1,0
697,5,1,2,0,0,3,0,1,0
698,12,4,3,0,7,1,2,1,0
699,12,4,3,0,7,1,2,1,0
700,10,2,7,0,3,1,0,3,0
701,11,5,4,1,6,1,0,2,0
702,11,5,4,1,6,1,0,2,0
703,11,5,8,0,3,1,0,2,0
704,17,9,5,1,11,2,0,1,0
705,14,11,3,0,12,1,0,1,0
706,25,19,3,6,17,1,0,1,0
707,9,4,2,0,6,2,0,1,0
708,13,6,8,2,2,2,0,1,0
709,15,8,5,0,9,3,0,1,0
710,21,12,2,1,19,2,0,1,0
711,10,1,6,1,2,2,0,2,0
712,10,7,4,0,7,0,0,1,0
713,12,4,5,0,6,0,2,1,0
714,9,3,8,0,2,0,0,1,0
715,9,2,6,0,2,2,0,1,0
716,9,4,6,0,4,0,0,1,0
717,10,2,9,0,2,0,0,3,0
718,11,1,9,1,2,0,0,4,0
719,10,2,8,1,2,0,0,2,0
720,11,5,9,1,2,0,0,1,0
721,11,1,8,2,2,0,0,3,0
722,13,7,10,2,2,0,0,1,0
723,11,5,10,0,2,0,0,2,0
724,11,5,10,0,2,0,0,2,0
725,10,5,4,0,6,0,1,0,1
726,8,2,5,0,1,0,2,1,0
727,11,7,4,0,8,0,0,1,0
728,6,2,5,0,1,0,0,3,0
729,12,4,5,0,6,0,2,1,0
730,6,5,2,0,3,1,0,1,0
731,8,2,3,0,2,1,2,1,0
732,6,2,3,0,2,1,0,3,0
733,11,7,2,0,9,1,0,1,0
734,10,7,2,3,4,1,0,1,0
735,9,6,5,0,4,1,0,1,0
736,13,7,7,0,7,1,0,1,0
737,13,8,5,0,9,1,0,1,0
738,9,5,5,0,3,2,0,1,0
739,8,2,7,0,0,2,0,1,0
740,8,2,7,0,0,2,0,1,0
741,5,6,2,1,1,0,0,0,1
742,7,8,2,1,4,0,0,0,1
743,6,6,2,1,3,0,0,0,1
744,5,6,2,0,3,0,0,1,0
745,6,8,2,0,4,0,0,1,0
746,7,6,2,1,4,0,0,0,1
747,7,6,2,1,4,0,0,0,1
748,6,4,2,1,3,0,0,0,1
749,6,4,2,1,3,0,0,0,1
750,7,4,2,1,4,0,0,0,1
751,8,6,2,1,5,0,0,0,1
752,8,6,2,1,5,0,0,0,1
753,9,6,2,3,4,0,0,0,1
754,8,3,2,2,4,0,0,0,2
755,8,3,2,2,4,0,0,0,2
756,10,3,3,1,4,0,2,0,1
757,8,3,3,1,4,0,0,2,1
758,8,3,3,1,4,0,0,2,1
759,11,6,2,1,9,0,0,0,1
760,15,8,2,1,14,0,0,0,1
761,11,6,2,1,9,0,0,0,1
762,7,3,4,1,2,0,0,0,1
763,11,5,4,1,7,0,0,0,1
764,15,7,10,3,3,0,0,0,1
765,7,3,2,1,3,1,0,0,1
766,11,5,2,1,8,1,0,0,1
767,11,5,2,1,8,1,0,0,1
768,16,9,2,4,10,1,0,0,1
